1.398906556940680957e+03,4.210206255540604459e-01,4.951215304718956212e+00,5.028872683084396158e+02,2.856799315631415539e+03,5.789701923485870793e+03,1.646766167253428193e+03,4.073109703945729621e+02
1.883390121359471323e+03,2.326389304820673798e-01,2.225842371630645466e+00,1.028956677343078354e+02,2.972407749851398421e+03,1.356313817890337077e+03,1.155352467451613848e+03,8.342022066558013194e+01
9.737203717521507542e+02,3.888327848337385095e-01,1.734749845507256527e+00,8.079838243917934903e+01,1.918520822103074806e+03,3.824168490533818954e+02,4.592572380865753985e+02,7.851900774826177098e+01
1.566238881509903877e+03,4.004800941268966130e-01,4.704512651943357326e+00,4.200441237875944012e+02,3.272732571703762005e+03,5.290298445943590195e+03,2.473653455235130423e+03,3.826860842800387559e+02
1.725174323996491466e+03,9.659197034450352215e-02,1.525762753352381207e+00,8.705369690366947566e+01,2.804666661093689072e+03,2.511240473433784075e+02,1.120379306616898702e+03,8.095294505096948967e+01
1.521026914967839048e+03,1.864934816705778320e-01,1.047281873684569486e+00,1.213319728191764142e+02,2.997628106871748514e+03,3.446309105902531655e+02,9.328379260816714122e+02,1.166488021983006291e+02
1.306283685670750629e+03,3.569781368043417613e-01,6.728426215347557360e+00,2.288623082628586189e+02,2.849864335312327057e+03,4.037720565938032451e+03,3.146759387887034791e+03,2.200343991622301871e+02
1.286539592167840510e+03,4.208267439252507125e-01,1.401602105662304920e+00,1.871274259199562380e+02,2.985043605667271095e+03,1.268834349703667385e+03,8.399476500761013540e+02,1.766807082129709841e+02
1.384661838575785850e+03,4.280846988638470907e-01,5.891904516086059473e+00,4.627533059136208635e+02,2.825141144189651641e+03,7.283339394239146714e+03,1.742055523768178318e+03,3.785690385566604164e+02
8.529007573932689183e+02,4.000897055018271531e-01,1.148024891936575642e+00,3.349678651943577279e+02,1.913551681948777059e+03,4.679791857641338311e+02,2.299247701655700382e+02,3.203248685193993310e+02
1.713947272526267852e+03,3.723820497748129288e-01,1.545906991845925837e+00,3.510109850770697903e+02,3.530188818532546065e+03,1.652209014150980920e+03,1.101360839488634383e+03,3.231964593338922214e+02
1.319055389100254388e+03,3.889236509417607901e-01,2.134244526882167481e-01,5.977956432687671651e+01,3.048869097671922646e+03,1.852568683623197501e+02,1.677784196868983315e+02,5.622058723728679297e+01
1.425280929523895793e+03,2.990571300109898245e-01,4.825567439597585384e+00,1.703813778199463798e+02,2.749048068670091197e+03,2.129148067515969160e+03,2.171211417848403926e+03,1.612495356240028457e+02
7.201952444285174124e+02,2.170515593786345176e-01,4.821699844285876502e+00,3.133469617072250912e+02,1.513356503330061287e+03,5.144465785724780744e+02,5.873592110936257313e+02,3.076347694971304918e+02
1.569020848841449606e+03,3.473375192924697541e-01,1.716459812745244340e-01,8.066510269882894590e+01,3.294757686297574310e+03,1.629129611344312707e+02,1.472313979842999458e+02,7.381043164894784070e+01
9.573004461239822831e+02,2.737843512174954475e-01,4.893702105760722176e+00,2.946315064282907770e+01,1.579834102903403391e+03,1.155902142766393126e+03,7.037880055985499439e+02,2.548920837523048988e+01
1.204821023145053687e+03,4.022537061456707419e-01,2.233405402271703366e+00,3.851050702128811736e+02,2.607032092635972276e+03,1.719817237043379464e+03,8.698416776585909247e+02,3.570643518320954968e+02
1.324846821690119214e+03,4.227012726353613914e-01,8.825005644897114809e-01,5.484686729094908060e+02,2.784598199583615497e+03,1.032026229448471668e+03,3.380936150765854791e+02,4.706691760133155640e+02
7.652460259725130527e+02,4.354903709759949670e-01,4.970805854387160827e-01,9.510146954355388971e+01,1.752087671362522542e+03,1.741880939199440377e+02,9.521040800903477930e+01,9.082009801406006488e+01
1.679727850968891062e+03,2.477508766738371893e-01,3.020082064617816364e+00,1.787068068139584511e+02,3.115341171881570062e+03,1.569672796610630030e+03,1.915137039922172789e+03,1.670133902007020481e+02
1.180951898915997162e+03,3.236634739835990704e-01,3.228632892099116414e-01,8.196163677728851837e+01,2.082619967048568924e+03,7.987687711930651346e+01,1.294330134724502273e+02,7.768017928572116659e+01
1.716704528108859449e+03,2.523392314702659345e-01,3.433406803403515450e+00,1.127594072481314242e+02,2.878577949392175924e+03,1.621547403406418198e+03,1.805024815558520913e+03,1.005599284426905484e+02
