,p_in,T_in,cr,bore,far_goal,PI,v_mean,T_fuel,T_out,eff,air_flow,p_max,T_max,power,heat_loss,p_tdc,nox,far_avg
187,989952.0367557796,302.95740292049106,6.351232616318258,0.1073022239460023,0.0646831150627099,1.3772425985325938,14.049535015057288,423.2780405125697,1497.6099478174451,0.3647050942224196,0.3221477485544276,42263182.61456385,2739.7677035581664,327023.06074424187,77754.39246851305,31167545.758397497,2811.9311453170203,0.0646831150627099
193,1261277.543969025,648.0768998124299,8.283087953644179,0.1134717700913711,0.0559865948242642,1.006091817989175,14.544937849032015,410.7778966201601,1483.9866052065795,0.3896336409504786,0.2475690185067538,40042932.17787271,2870.2021956728126,232395.28775489575,84725.20623868241,33660480.710662685,2888.1507725459583,0.0559865948242642
195,1307212.5165801377,565.9293327609853,6.940255511026673,0.1648037880798972,0.0305019541118062,1.0330388476715224,13.280943466341654,374.4193532673613,1082.861446951756,0.3920433630713308,0.5627320821711017,28516875.22992345,2065.263804413567,289570.2673405483,97904.28045169468,24746862.07769944,1339.8940049477126,0.0305019541118062
196,341747.4063243618,400.9172052670827,8.314879631880608,0.1097868465969369,0.0598798910297928,1.182360408467397,8.195734330834489,396.6308153807091,1340.4624532065216,0.3953518862013027,0.0548736846637003,15566129.649188949,2690.518070687388,55900.98516950186,19877.219871367088,12363014.168565728,3140.8539082486323,0.0598798910297928
198,176321.4107585256,256.7564412332681,10.279932767955676,0.1022556012492575,0.0653983013412462,1.0107645755000656,9.394481807088711,467.8189203251512,1265.212312638704,0.4412311987349722,0.0434814569394447,15152867.645784684,2707.122584082237,53991.735907430775,14614.847128477331,11818111.402383776,3587.917822360147,0.0653983013412462
200,1717891.2284598977,339.64956232686035,4.9080161145692776,0.1977600773025516,0.0337994716010665,0.9035843094815914,8.472121868199155,517.7668861782927,1042.828842960518,0.3796655797108966,1.133723181096882,37486314.820533775,1904.2552614010096,626049.51810519,118825.71609779612,28583579.837717403,981.1839616002404,0.0337994716010665
201,175573.07560845977,431.2767733887711,4.742137348262504,0.1219375934203806,0.0434170429452613,1.2584390542049644,9.29485897549776,441.6648320219652,1237.095296324023,0.315891627959287,0.0356336904311419,3335268.105634194,2210.6683574139097,21030.504054922927,10632.499909605984,2568627.8889050093,2826.6240292025414,0.0434170429452613
210,919941.9490785224,747.6943109189256,8.556262532356914,0.140645296727135,0.0320158747197407,1.1332819041536766,11.921764499481004,301.31680524423183,1183.7149975118848,0.3695496346419141,0.1972441467434469,22110763.84597093,2319.437487418196,100422.90849477753,59628.25826056393,20137989.627371725,1721.229894571119,0.0320158747197407
216,2511690.3956848085,855.1206361367645,5.893652742585616,0.1004891454663606,0.0233602850880384,1.0511193559684595,13.011362223909062,482.8109741565289,1185.5974850159462,0.331686130189478,0.2649951165293517,33626931.04044644,2115.929533331804,88355.55162593468,66671.52799451529,30934057.354364406,1204.1360092451434,0.0233602850880384
224,559365.2645165075,417.1290971829611,4.047704510168863,0.1259440437419964,0.0365007017434961,1.222356775414715,11.154796333337083,409.25001993970784,1179.112728278578,0.3011432538178737,0.1491821189918672,8226106.7330379635,1992.629615532101,70563.74896875441,28340.096152838152,6323649.833676121,1787.7125207117335,0.0365007017434961
228,1685664.5518688883,713.7810254677015,6.9012242156280745,0.1210627160035045,0.0609672734897333,1.4427287662335488,12.873386340651072,496.6899269750157,1694.3572707109026,0.3244529896161494,0.2852493709330893,41148429.70018196,3008.5598476627188,242808.435713699,117200.57441221496,34106066.59054764,2938.082123628526,0.0609672734897333
230,1676296.211221256,866.3888438034263,5.749842285843729,0.1164471078848813,0.0404716184054291,1.2284234334019557,10.099552984714435,269.1209928531768,1466.667912719399,0.2979048076634788,0.1770275507829664,25275076.58378425,2557.265599640984,91845.83492976573,68924.88929546646,22005076.575439084,2053.2270939742334,0.0404716184054291
233,1869223.4471145212,533.6316875920509,4.794353353327077,0.1743594983914053,0.0669637796174524,1.2169829179073632,8.906870323272765,448.3745202625666,1752.4849340207445,0.3055472741981572,0.6018950356209423,38782837.945345886,2959.760697696069,529943.6046933642,200129.14017001263,29208501.2999619,2225.1021690706616,0.0669637796174524
234,358697.7037010619,262.6250467290727,5.364254694659461,0.1156671673131896,0.0494715521426336,1.4881741978748149,9.880271537583798,452.49385393111,1246.0195028682056,0.3491410950237418,0.1063326263714114,11841777.73477705,2272.2876937418746,79033.92835507187,22565.90092110984,8640426.68237974,2293.4947966581185,0.0494715521426336
237,1670309.041801136,836.089765527998,4.407546752661039,0.1322841437770878,0.0545805678684127,0.9550574456913608,10.689754410230034,328.824161328961,1709.127848775304,0.2960870354846471,0.2603531962238495,21800818.25660178,2867.1279172628742,181055.147791143,104889.92771985372,17583668.146443278,2603.71833320268,0.0545805678684127
242,878635.7705153766,617.6793643563828,13.34688772169806,0.1201695656034093,0.0272326933440354,1.1337388627639955,10.64441292703236,300.5967570829007,961.5835793732832,0.4249792738847684,0.1481654620399204,36982563.70919431,2129.3388024272244,73789.71747547011,37687.942424100765,34883600.75379904,1274.824398475709,0.0272326933440354
243,2192362.4874464786,372.8158572291602,5.579739932584047,0.1436100293446185,0.0396885066235655,0.9189376875938182,10.170118068743625,391.5738584286884,1145.0279914486532,0.3855449945197975,0.8314735696136544,56024128.22152923,2123.4395018020687,547493.2859195503,110467.31632570272,43250454.29754022,1242.515527147245,0.0396885066235655
246,1186477.473360401,310.54528178010605,6.425184389286354,0.1076812627255901,0.0317288783543103,1.3068540775286168,8.639590734784568,281.1981980780607,939.1331918586098,0.3944262047242298,0.2418421455066622,34485025.85021805,1800.2450456317774,130239.58072222472,26966.59410624776,27516243.95670924,1018.8026744474672,0.0317288783543103
248,2064312.9023079968,697.4127291547247,5.583337105299543,0.1954284612805872,0.0433573144495514,1.112404623504282,10.329830754933187,455.1034479816104,1435.6399957260423,0.3354698830524115,0.7827856636795252,35559691.50316966,2522.625259872302,489947.2187496644,214095.1871384417,29653969.003523413,1620.9816371459,0.0433573144495514
251,532293.670223104,505.8666014564528,12.599547631374664,0.1662761305859313,0.0477269913624386,1.4534163973064258,11.843658748014985,473.4392824199023,1212.1372646930747,0.4219198819978997,0.22521742473311,28734033.248410948,2541.829246446115,195158.09005577216,70382.25733170305,25280314.59320617,2309.539313413871,0.0477269913624386
252,783126.871818671,480.5967748637832,10.192119280694673,0.1113827609508321,0.0468317688858591,1.070892228332573,11.038845431493804,442.34540859540914,1188.9169889734624,0.4326319921209808,0.1493841705569921,34982379.33302683,2477.4595814113727,130242.97125527906,40497.41240643848,29790010.24320568,2216.0069381288063,0.0468317688858591
253,1491188.5322462576,465.36126852508073,5.380659484872236,0.1086635925676482,0.0419506668844313,1.200738516211019,10.176591029917743,395.1852916916069,1259.0131356346287,0.3444104161123305,0.2489634052434261,31046401.067871533,2248.7754137004654,154789.38835996104,51644.47216661861,24576437.442072578,1775.557353567607,0.0419506668844313
254,1488951.7815571586,481.683058499601,4.684644985630075,0.1202400904914309,0.0563722664953458,0.9215674443279483,11.680786626627752,483.01719971440747,1539.5780996573494,0.3300099180013125,0.3536726738507678,31121363.46419427,2676.16983510942,283129.1051935843,90148.84201605,23287461.83098312,2397.321613611014,0.0563722664953458
256,720313.7544708629,507.8989491067799,6.143500617627613,0.1222558265706432,0.0516517279234667,1.2333528933634457,8.876332219546503,384.7312152770587,1388.409362756777,0.3477042978508484,0.1222511935092531,18174663.08187614,2553.187227957444,94479.70821260146,38753.90136676186,14447982.950945357,2538.0508248499737,0.0516517279234667
258,3005619.831552459,911.4377184202524,4.110974879350319,0.1976895953603534,0.0229387747260788,1.4071837386369008,9.755516597018572,433.8063836530125,1319.6501435745874,0.1741791211740922,0.7882847539307883,24479909.378192287,2015.882061524385,135531.4112093737,226076.56229028685,22339973.454836585,926.3155876381592,0.0229387747260788
261,775484.8460168727,387.5485421585527,7.889931935055058,0.1260313114072004,0.0334867581093584,1.0188769654229468,14.141102914004389,250.76927885584297,975.8129118205512,0.4270151290880332,0.2980099898399006,25665165.03351353,1971.5594877810995,183373.9803782364,41163.08089376823,21413185.42677985,1439.769192981575,0.0334867581093584
267,396999.7100944386,266.9288314392543,5.400661762165603,0.178328398219851,0.0607571399596793,1.3964114141268795,8.83359013279593,369.6538912017479,1428.4234056866344,0.3444838348970573,0.2495310290896398,14869918.210881855,2581.46759575734,224740.4514383551,63020.88922272517,10659851.791216584,2495.4452667751866,0.0607571399596793
270,669961.1502720927,515.4929212079496,15.314780363249394,0.1534819062072366,0.0306580728066832,1.2121968241475738,14.953540599158746,301.4434142899234,942.8611896469138,0.4525314976091791,0.3050314190200779,37671326.60393961,2132.010121757645,182107.88949636687,65185.31511466106,35173948.36545552,1423.9939548610184,0.0306580728066832
271,1842977.0227239567,759.8921796498458,6.9269791128356815,0.1624648927615362,0.06597372715582,1.4105396204956673,10.433802235376662,261.6259720384484,1775.4385041038204,0.3182899808484895,0.430660742782617,44764556.86120983,3141.7834926959104,389152.4735532131,192872.5199022469,37138520.585395165,2644.717070282101,0.06597372715582
279,475642.0013663026,532.3751567144377,9.014912574276655,0.1614517182219862,0.0297183696560735,1.258421699597578,9.423351756628543,370.48888638760855,997.7416247220488,0.3935006616312798,0.1454152207278993,14142871.239064258,2018.4786137334984,73176.3656603687,32488.364378946197,12619167.795777803,1453.812651291453,0.0297183696560735
280,846791.6276964553,470.1654355289306,8.433681556080963,0.1996253106044522,0.0255900200446001,1.4315395076011432,9.386079861355745,252.7791379405319,930.6000750723764,0.3786014675213835,0.4346868340269929,23475558.221985247,1816.441013795436,181225.75904888255,64786.37247298967,20909588.791867685,966.6129817339006,0.0255900200446001
282,1571776.277867666,708.5068947730492,5.5453470640659175,0.1435964878754702,0.0633771817534063,1.0959500332202188,9.707986630691508,529.5316224200005,1737.4884735405724,0.3245359033705038,0.2976513831237807,31618550.88573448,3041.3007423221507,263447.51105670794,121898.75404017109,25193061.854471058,2649.7804780161746,0.0633771817534063
287,2141817.1798402183,933.0936150774218,5.455499757133111,0.1285121960437134,0.0435871666288779,1.4910931087423809,14.627994577161108,435.4095816877818,1647.1073913367277,0.2457186699382177,0.350753335765405,29410980.70942709,2703.854296125156,161654.99430477255,145585.04814897853,25657683.9493393,2357.316171216634,0.0435871666288779
291,552999.3734238588,451.18594375534127,12.33707097808514,0.1505744263603007,0.0430155145400065,1.1617421535486214,14.814487505214496,489.4344265774584,1099.567436909576,0.4545760447215105,0.2722059174030057,30383457.04456499,2371.9442857190334,229044.4388686815,64491.11017232546,26582714.298817515,2111.0551507237983,0.0430155145400065
294,966245.8417005716,738.4389116458817,4.704528687789841,0.106275501864364,0.0294079269990579,1.1425212483478984,12.892971151485098,270.40729357185944,1224.8733795392332,0.2924573808574014,0.1276676880417928,11206466.663138725,2081.2300891787977,47249.641063231786,34568.04794624918,9723187.332003796,1855.410976353836,0.0294079269990579
